,Cost_per_Unit
57,1790.6064024390244
99,1087.09
358,1190.9252940202089
432,1465.618410041841
597,1065.4903556215
665,1538.801975308642
712,1678.55
1168,1775.256666666667
1285,1967.125
1436,1535.5156
1551,65.71537396121884
1555,995.2352941176472
1641,637.402072027627
1768,2203.0161904761903
1825,0.0
2088,1401.1956752172991
2302,976.9559198542804
2344,1545.575046728972
2394,340.31073446327684
2517,1348.2032000000002
2843,585.0160513643659
2900,1381.87
2915,0.0
3116,303.5
3125,0.0
3533,1886.8852459016396
3654,539.42
3792,702.6985507246376
4086,818.2564102564103
4244,450.24
4338,592.9433333333333
4544,1466.7691469194313
4554,1440.13
4669,534.1578571428572
4910,1970.391935483871
4985,572.0384848484848
5067,1131.8175881584675
5117,0.0
5286,780.3670634920635
5322,1140.63
5399,1921.56
5511,1558.7655102040817
5782,1417.5389565217392
5924,624.8757983193277
5930,339.089405940594
5995,562.5
6064,105.5181236673774
6077,1921.56
6167,1642.095238095238
6305,2216.175277777778
6395,1106.0841940881205
6429,1393.7275
6469,2247.372641509434
6502,1477.826111111111
6670,1719.957345971564
6680,408.8
6730,324.6015037593985
6894,1124.9205882352942
6909,1170.5388813096863
7082,457.6470000000001
7107,474.0974015748032
7197,1006.2973180076629
7234,1922.32
7236,1313.3333333333333
7438,1190.913560382587
7703,1095.107142857143
7899,1977.475140186916
7985,2302.122058823529
8119,1409.0223076923078
8124,0.0
8182,1434.6765116279068
8238,489.43
8284,453.4153846153846
8356,324.04
8467,1079.8791666666666
8474,272.32
8566,1346.0500000000002
8705,2261.7583333333337
8743,2223.970444444444
8870,1489.577619047619
8966,1512.7511965811966
9285,463.1621621621621
9453,2070.626111111111
9536,1348.27
9621,785.2
9758,1618.609
9851,1714.4994915254238
10330,1419.4478846153845
10542,2290.0
10695,867.4344859813083
10744,351.9093644067797
10785,928.8190909090908
10918,1149.47
10922,549.8480186480186
11038,535.98
11340,943.1428571428572
11516,686.695
11645,2290.017006802721
11657,1249.5942105263157
11662,686.7157142857143
11900,1285.7212138728323
11941,1289.7141975308643
12137,0.0
12144,1206.8771428571429
12185,1474.684
12414,1368.81
12765,1170.632688927944
12872,1650.5266666666669
13486,0.0
13706,1187.9269358503757
13710,170.48666666666665
14006,0.0
14067,1533.4669565217391
14284,1554.188205128205
14342,1553.3199315068491
14449,1525.350711560473
14538,1794.6348484848484
14689,1068.6089743589744
14899,63.62817518248175
14955,1190.925925925926
15221,468.28
15390,880.57
15549,521.0066666666667
15643,4008.7763157894738
15688,2182.7620967741937
15923,2724.501718213058
15933,1457.178571428571
15944,1492.123783783784
16031,2143.927259368112
16236,538.2716049382716
16287,1719.3135616438356
16473,2221.055737704918
16523,952.44
16671,614.8560126582279
17215,2290.0
17319,2216.901758241758
17520,334.79985074626865
17983,2236.4156666666668
18189,456.375
18415,1642.4418604651162
18442,737.9040722082284
18593,1648.0101315789475
18752,717.1666666666666
18773,538.272778881635
18957,0.0
18958,202.1995
19034,1201.335
19109,870.4863909774436
19225,545.24
19272,0.0
19385,1149.47
19517,1190.9107741139128
19537,2231.532058823529
19765,930.1275609756098
20002,202.01
20034,1356.5213333333334
20249,1483.4696
20301,1869.3
20395,538.2707129094413
20486,523.7329347826087
20718,1555.2486363636365
20725,1654.697361522199
20784,1059.2093704245974
20791,970.3150134048258
20847,1310.0091878172589
20963,483.655
21174,1878.98085106383
21234,1478.20625
21333,408.8
21488,1579.1681125827815
21702,1236.5623529411764
21774,889.4808474576272
21796,1231.5507954545456
22088,1417.6757009345793
22311,1313.3333333333337
22488,340.91048192771086
22610,32.47347826086957
22706,1152.292258064516
23368,578.990099009901
23604,350.2794210526316
24320,832.1932938856016
24800,1189.03
24824,1645.1835714285714
25317,1119.44
25337,480.625
25382,990.078125
25589,1921.56
25650,2724.5
25790,1343.5721621621622
25895,487.605279698303
26036,409.79
26130,1464.5174418604652
26300,1396.485
26406,2090.295483870968
26468,1645.1816666666666
26636,1327.605
26792,616.9912800000001
26818,2724.49
26889,1417.6016666666667
26953,585.6297701149425
27128,644.2942942942943
27292,1655.363330850524
27332,1300.7874597779287
27485,1369.2401539355212
27556,567.86
27646,2250.2853125
27705,685.4499999999999
27767,1476.2234108527132
27817,618.7261386138614
27829,1515.501851851852
27910,899.2636217948718
28235,1005.0
28476,0.0
28628,0.0
28668,1542.3184507042254
28836,1064.0585714285714
29025,1151.1647368421054
29151,1490.6840476190475
29249,593.4645333333333
29464,873.046328125
29560,724.5405405405405
29566,532.7379435483871
29589,2046.144248366013
29601,1376.85
29630,1485.9264
29666,1476.460352112676
29896,1144.392
29968,105.49789029535866
29975,1208.2261904761906
30007,237.43529411764703
30019,1378.188813559322
30090,533.77725
30142,1486.605
30144,675.36
30548,1513.43
30619,543.35
30835,1159.37
30900,203.6971428571429
31083,1715.219210526316
31269,1656.07476635514
31299,2237.885454545454
31534,0.0
31935,2228.320757575758
32157,976.959551461754
32436,1380.1785185185186
32627,2724.475675675676
32786,1303.7973529411763
32946,0.0
33049,1281.3408333333334
33341,1506.9757142857145
33380,1868.9922413793104
33455,538.2352941176471
33547,944.6659652814308
33658,344.113
33919,1642.5088967971528
34110,1334.62
34140,2145.17
34145,1040.858250276855
34766,326.13796610169493
34899,1302.349905660377
35193,1757.1077477477477
35271,1368.81
35425,1004.3465648854964
35432,1905.5976530612245
35653,1443.721065487961
35912,534.2096069868995
35934,1159.145
36019,1129.604
36095,448.81
36129,685.45
36251,1899.0830303030305
36311,1386.3847368421054
36480,1430.769696969697
36488,1567.8357894736844
36733,1412.1430487804878
36748,417.7486392874815
36884,2237.280212765957
37002,1272.045108695652
37036,2292.5914285714284
